season_label,weather_label,mean_cnt,median_cnt,high_rate,n
Fall,Clear/Mist,209.463779225757,168.0,0.5534687619777693,2609
Fall,Cloudy/Mist,201.48397435897436,167.0,0.5657051282051282,1248
Fall,Light Rain/Snow,116.45333333333333,76.0,0.2853333333333333,375
Spring,Clear/Mist,232.41098286114027,192.0,0.60265827212312,2859
Spring,Cloudy/Mist,181.26136363636363,143.0,0.5008741258741258,1144
Spring,Light Rain/Snow,115.17980295566502,67.5,0.29064039408866993,406
Summer,Clear/Mist,244.49420731707318,210.0,0.6411585365853658,3280
Summer,Cloudy/Mist,224.84899683210136,188.0,0.6124604012671595,947
Summer,Light Rain/Snow,171.95539033457248,121.0,0.44981412639405205,269
Winter,Clear/Mist,122.05553470919324,86.0,0.3181988742964353,2665
Winter,Cloudy/Mist,103.0746887966805,73.0,0.25975103734439836,1205
Winter,Heavy Rain/Snow,74.33333333333333,36.0,0.3333333333333333,3
Winter,Light Rain/Snow,58.65040650406504,35.0,0.0921409214092141,369
