yr,mnth,mean_cnt,high_rate,n
0,1,55.50726744186046,0.06831395348837209,688
0,2,74.29121725731895,0.14791987673343607,649
0,3,87.73287671232876,0.21095890410958903,730
0,4,131.9471488178025,0.3866481223922114,719
0,5,182.55510752688173,0.553763440860215,744
0,6,199.32222222222222,0.6027777777777777,720
0,7,189.9744623655914,0.5591397849462365,744
0,8,186.99179206566347,0.5622435020519836,731
0,9,177.70990237099025,0.5271966527196653,717
0,10,166.2328398384926,0.4831763122476447,743
0,11,142.09596662030597,0.4242002781641168,719
0,12,117.84480431848853,0.33873144399460187,741
1,1,130.5587044534413,0.3616734143049933,741
1,2,149.04190751445086,0.4393063583815029,692
1,3,221.90444145356662,0.5814266487213997,743
1,4,242.6518105849582,0.584958217270195,718
1,5,263.25940860215053,0.6532258064516129,744
1,6,281.7083333333333,0.6791666666666667,720
1,7,273.6653225806452,0.6908602150537635,744
1,8,288.31048387096774,0.696236559139785,744
1,9,303.5736111111111,0.6722222222222223,720
1,10,280.84887005649716,0.6596045197740112,708
1,11,212.62395543175487,0.5821727019498607,718
1,12,166.72911051212938,0.444743935309973,742
